# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
2:58:15	1298	756	Fixation	1296.29	754.429	7	----	S2
2:58:16	1282	765	Fixation	1294.5	755.75	8	----	S2
2:58:17	785	776	--------	-9999	-9999	0	----	S2
2:58:18	250	782	--------	-9999	-9999	1	----	S2
2:58:19	276	787	--------	-9999	-9999	2	----	S2
2:58:20	264	785	--------	-9999	-9999	3	----	S2
2:58:21	277	785	Fixation	266.75	784.75	4	----	S2
2:58:22	274	790	Fixation	268.2	785.8	5	----	S2
2:58:23	274	788	Fixation	269.167	786.167	6	----	S2
2:59:0	247	803	Fixation	266	788.571	7	----	S2
2:59:1	253	806	Fixation	264.375	790.75	8	----	S2
2:59:2	250	812	Fixation	262.778	793.111	9	----	S2
2:59:3	249	823	Fixation	261.4	796.1	10	----	S2
2:59:4	246	815	Fixation	260	797.818	11	----	S2
2:59:5	250	817	Fixation	259.167	799.417	12	----	S2
2:59:6	252	808	Fixation	258.615	800.077	13	----	S2
2:59:7	319	810	--------	-9999	-9999	0	----	S2
2:59:8	313	817	--------	-9999	-9999	1	----	S2
2:59:9	319	814	--------	-9999	-9999	2	----	S2
2:59:10	312	795	--------	-9999	-9999	3	----	S2
2:59:11	314	792	Fixation	314.5	804.5	4	----	S2
2:59:12	306	785	Fixation	312.8	800.6	5	----	S2
2:59:13	314	795	Fixation	313	799.667	6	----	S2
2:59:14	314	794	Fixation	313.143	798.857	7	----	S2
2:59:15	280	780	Fixation	309	796.5	8	----	S2
2:59:16	333	809	Fixation	311.667	797.889	9	----	S2
2:59:17	367	806	--------	-9999	-9999	0	----	S2
2:59:18	353	806	--------	-9999	-9999	1	----	S2
2:59:19	347	803	--------	-9999	-9999	2	----	S2
2:59:20	353	804	--------	-9999	-9999	3	----	S2
2:59:21	436	806	--------	-9999	-9999	0	----	S2
2:59:22	439	798	--------	-9999	-9999	1	----	S2
2:59:23	442	794	--------	-9999	-9999	2	----	S2
3:0:0	433	796	--------	-9999	-9999	3	----	S2
3:0:1	440	789	Fixation	438.5	794.25	4	----	S2
3:0:2	443	796	Fixation	439.4	794.6	5	----	S2
3:0:3	512	802	--------	-9999	-9999	0	----	S2
3:0:4	508	800	--------	-9999	-9999	1	----	S2
3:0:5	515	802	--------	-9999	-9999	2	----	S2
3:0:6	517	801	--------	-9999	-9999	3	----	S2
3:0:7	502	787	Fixation	510.5	797.5	4	----	S2
3:0:8	518	808	Fixation	512	799.6	5	----	S2
3:0:9	519	805	Fixation	513.167	800.5	6	----	S2
3:0:10	595	806	--------	-9999	-9999	0	----	S2
3:0:11	601	792	--------	-9999	-9999	1	----	S2
3:0:12	600	795	--------	-9999	-9999	2	----	S2
3:0:13	601	789	--------	-9999	-9999	3	----	S2
3:0:14	599	798	Fixation	600.25	793.5	4	----	S2
3:0:15	604	796	Fixation	601	794	5	----	S2
3:0:16	602	796	Fixation	601.167	794.333	6	----	S2
3:0:17	602	799	Fixation	601.286	795	7	----	S2
3:0:18	606	796	Fixation	601.875	795.125	8	----	S2
3:0:19	662	792	--------	-9999	-9999	0	----	S2
3:0:20	667	780	--------	-9999	-9999	1	----	S2
3:0:21	666	785	--------	-9999	-9999	2	----	S2
3:0:22	667	778	--------	-9999	-9999	3	----	S2
3:0:23	662	786	Fixation	665.5	782.25	4	----	S2
3:1:0	664	786	Fixation	665.2	783	5	----	S2
3:1:1	663	783	Fixation	664.833	783	6	----	S2
3:1:2	690	787	Fixation	668.429	783.571	7	----	S2
3:1:3	717	796	--------	-9999	-9999	0	----	S2
3:1:4	716	796	--------	-9999	-9999	1	----	S2
3:1:5	714	802	--------	-9999	-9999	2	----	S2
3:1:6	724	790	--------	-9999	-9999	3	----	S2
3:1:7	725	783	Fixation	719.75	792.75	4	----	S2
3:1:8	752	793	Fixation	726.2	792.8	5	----	S2
3:1:9	831	803	--------	-9999	-9999	0	----	S2
3:1:10	822	785	--------	-9999	-9999	1	----	S2
3:1:11	829	785	--------	-9999	-9999	2	----	S2
3:1:12	823	778	--------	-9999	-9999	3	----	S2
3:1:13	818	792	Fixation	823	785	4	----	S2
3:1:14	827	782	Fixation	823.8	784.4	5	----	S2
3:1:15	861	789	Fixation	830	785.167	6	----	S2
3:1:16	864	792	Fixation	834.857	786.143	7	----	S2
3:1:17	863	784	Fixation	838.375	785.875	8	----	S2
3:1:18	871	779	Fixation	842	785.111	9	----	S2
3:1:19	871	779	Fixation	844.9	784.5	10	----	S2
3:1:20	868	772	Fixation	847	783.364	11	----	S2
3:1:21	382	774	--------	-9999	-9999	0	----	S2
3:1:22	252	776	--------	-9999	-9999	1	----	S2
3:1:23	270	786	--------	-9999	-9999	2	----	S2
3:2:0	270	783	--------	-9999	-9999	3	----	S2
3:2:1	261	782	Fixation	263.25	781.75	4	----	S2
3:2:2	259	789	Fixation	262.4	783.2	5	----	S2
3:2:3	263	806	Fixation	262.5	787	6	----	S2
3:2:4	268	805	Fixation	263.286	789.571	7	----	S2
3:2:5	276	799	Fixation	264.875	790.75	8	----	S2
3:2:6	255	804	Fixation	263.778	792.222	9	----	S2
3:2:7	283	814	Fixation	265.7	794.4	10	----	S2
